word,synonyms
اختصار,"['تَلْخِيص', 'إِيجَاز']"
سائب,['مُهْمَل']
تضميخ,['دَهْن']
فعل بثقة,['جَزَمَالأمر']
اختصام,"['تَنَازُع', 'اِخْتِلاَف']"
ترك(ها)-من دون زرع-,['بَوَّرَالأَرْضَ']
أبعد,"['دَحَرَ', 'طَرَدَ', 'نَفَعَ']"
زايل,"['فَارَقَ', 'اِبْتَعَدَ']"
سيّر,['أَمْشَى']
سيّد,['أَشْرَف']
سائل,"['مُسْتَعْطِي', 'مَائِع']"
تأخيذ,['سِحر']
تأخير,"['تَثْبِيط', 'تَعْوِيق', 'إِضْعَاف']"
اجتلاب,['إِتْيان']
سيّئ,"['قَبِيح', 'رَدِيء']"
فرسان,['خَيَّالَة']
تنازع,"['تَخَاصُّم', 'تَقَاتُل']"
إجلاء,['خُروج']
زنّق,['قَتَّرَ']
ضعاف,"['أَوْفَاضُالنَاسِ', 'فُقَرَاء']"
برحاء,"['شِّدَة', 'مُصِيبَة', 'أَذَى']"
تهاجر,"['تَقَاطُع', 'اِنْفِصَال']"
إجلاب,"['إِضْجَاج', 'صِيَاح']"
تبختر,"['تَمَيُّل', 'تَمَايُل']"
ثراء,"['غِنَى', 'إِيسَار']"
أكذب,['أَفْرَى']
توافق,['اِتِّفَاق']
انملع-ت-( الدّابّة),['أَسْرَعَت']
استتار,"['إِنْمَاسَ', 'اِسْتِخْفَاء']"
إتلاف,['إِفْسَاد']
أتعب(ه)-بشدة-,['أَنْهَكَهُ']
أسلس,"['أَلْيَن', 'أَطْرَى']"
انجزم,['اِنْقَطَعَ']
ألندد,['خَصْم شَدِيد']
تلظّى,"['تَلَهَّبَ', 'اِتَّقَدَ']"
لان (فيه),"['أَنَّثَفي الأمرِ', 'تَسَاهَلَ']"
متخلّي,"['خَاذِل', 'مُخَيِّب']"
أيّد(الرّجل),"['قَوّىه', 'آزَرَه', 'نَصَرَه']"
تجمّع(وا)-عليه-,['تَجَمَّىالقَوْمُ عَلَيه']
رجع(من السّفر),['أَقْدَى']
جيّد,"['حَسَن', 'جَمِيل']"
استبطن الوادي,['دَخَلَ']
تئق(الوعاء),['اِمْتَلأَ']
ختم,['طَبَعَ']
اعتمد (على نفسه),['اِتَكَلَ على نَفْسهِ']
بلج(صدره),['اِنْشَرَحَ']
تأجيل,['تَأخِير']
متخم,"['بَشِم', 'ضَجِر', 'مَال']"
رحوم,"['كَثِيرالرَحْمَة', 'غَفُور']"
اهتجام,"['هُجُوم', 'إِضْعَاف']"
نمّام,"['بَذُور', 'مُفْسِد', 'ثَرْثَار']"
حجب,"['مَنَعَ', 'سَتَرَ']"
تشبه,['مُمَاثَلَة']
مبتهج,"['سَعِيد', 'مَسْرُور']"
امتدخ,"['جَارَ', 'ظَلَمَ']"
انكبّ(على الأمر),['لَزِمَه']
امتدح,['مَدَحَ']
صان,"['رَعَى', 'حَفِظَ']"
خاضع,"['رَاضِخ', 'ذَلِيل']"
أمزّ,['فَاضِل']
شذّاذ-الآفاق-,['غُرَبَاء']
تّندّي,"['اِبْتِلال', 'تَبَلُّل', 'تَرَطُّب']"
لقاء,"['اِلْتِقَاء', 'مُصَادَفَة', 'رُؤيَة']"
صاح,"['أَضَّجَ', 'أَجْلَبَ']"
بدل(الشيء),"['غَيَّرَه', 'اِسْتَعَاضَ عَنْه بِآخَر']"
حبّذ(ه),"['أَيَّدَالأَمْرَ', 'وَافَقَعَلَيْهِ']"
أنعى,"['قَبَّحَ', 'شَنَّعَ']"
أومأ,['أَشَارَ']
امتدّ,['تَبَوَّعَالشيء']
أنعم,['أَعْطَى']
اقتصاد,['تَوَسُّط']
أصحى,"['أَيْقَظَ', 'أَنْبَهَ']"
قرّر,"['أَكَّدَ', 'ثَبَّتَ']"
اهتجاء,"['هِجَاء', 'عَيْب', 'شَتْم']"
ألكد,"['لَئيم', 'جَبَان']"
قرّب,"['زَلَّفَ', 'قَدَّمَ']"
تنظف,['تَنَقّى']
اقتصار,['اِكْتِفَاء']
زماتة,"['وَقَار', 'رَزَانَة', 'رَصانَة']"
اهتمط-المال-,['اِغْتَصَبَه']
أقذاء(الناس),"['سَفَلَة', 'حُثَالَة']"
ولد-الولد-,['حَفِيد']
تّضييع,"['إِضَاعَة', 'فُقْدَان']"
شديد(الحزن),"['جَزِع', 'شَدِيدالخَوْف', 'وَجِل']"
تجالع,"['تَنَازُع', 'تَشَاتُم']"
نكص,"['تَأَزَى', 'أَحْجَمَ', 'تَرَاجَعَ']"
قطع,['حَصَدَ']
وسخ,"['شَائِب', 'دَنَس']"
وسع,"['جُهْد', 'طَاقَة', 'مَشَقَّة']"
انقطاع,"['تَبَتُّل', 'تَعَفُّف عن الزَواجِ', 'سُقُوط']"
انقاد,"['سَلِسَ', 'لاَنَ']"
تمقت,['تَبَغُّض']
انقاص,"['اِنْهَارَ', 'اِنْهَدَمَ', 'اِنْهَالَ']"
انقاذ,"['اِسْتَسْلَمَ', 'خَضَعَ']"
ذهب-عنه-,['تَرَكَه']
أغمّ,"['أَكْمَدَ', 'أَحْزَنَ']"
ابتسامة,['بَسْمَة']
قلب و لسان,['أَصْغَرَان']
جمع(بينهم),['أَلَّبَالقوم']
تصاعد,['صُعُود']
توفّق,"['نَجَاح', 'فَلاَح']"
ألثق(الشيء),['بَلَّلَ']
ألهب(النّار),"['أَوْقَدَ', 'أَضْرَمَ']"
تلّه,"['تَلَف', 'هَلاَك', 'فَسَاد']"
سحيق,"['بَعِيد', 'عَمِيق']"
إكراب,"['إِحْزَان', 'إِسْرَاع']"
نبيل,['شَرِيف']
مسرف,"['تِبْذَار', 'مُبَذَّر']"
إكراء,['إِيجَار']
أعيان,"['خَاصّةمن القَوم', 'أَكَابِر']"
خراب,"['دَمَار', 'هَلاَك', 'مَوت']"
بعد(الحاجبين),"['بَلْجَة', 'ضوءالصُبح البَاكِر']"
بخيل,"['شَحِيح', 'حَرِيص']"
أنقذ,"['خَلَّصَ', 'أَنْجَى']"
أنقص,"['أَوْكَس', 'قَلِيلالحَظّ', 'خَسِيس']"
أوزغ(الشيء),"['قَسَّمَه', 'فَرَّقَه']"
تكسّر,"['تَجَزُّع', 'تَقَطُّع']"
تليفة,['تَالِف الجَسَد']
تخايل,['تَكَبُّر']
روّية,"['نَظَر', 'تَأَمُل']"
سامي,"['رَاقِي', 'عَالِي']"
غمض,"['دَقَّ', 'رَقَّ', 'صَغُرَ']"
تطاول,"['طُول', 'تَكَبُّر', 'تَرَفُّع']"
تماكر,['تَحَايُل']
تكسّب,"['اِكْتَدَحَ', 'عَمِلَ']"
سامق,"['طَوِيل', 'عَالِي']"
تشعشع,"['مُضِيّ', 'اِنْتِشَار']"
سامع,"['مُنْصِت', 'مُطِيع']"
عاشر,"['آلَفَ', 'آنَسَ', 'تَعَوَّدَ']"
بعاد,['بَعِيد']
غمّ,"['حُزْن', 'اِكْتِئَاب']"
ابتذال,"['اِمْتِهَان', 'اِحْتِرَاف', 'اِحْتِقَار']"
تكسّى,"['لَبِسَ', 'اِرْتَدَى']"
تقريب,['إِدْنَاء']
خلسة,['شَيْءمُخْتَلِس']
إكرام,"['حَفْو', 'إِعْطَاء', 'قَصّ']"
إكراه,['إِجْبَار']
برّر,"['عَلَّلَ', 'زَكَّا']"
أنقه,['أَشْفَى']
تقريظ,['مَدْح']
بخيت,['مَحْظُوظ']
تقرير,"['تَوْكِيد', 'شَدّ', 'إِيثَاق']"
موثق,"['رَابِط', 'شَادّ']"
بهيتة,"['كَذِب', 'حَيْرَة']"
أعان(ه),"['أَنْجَدَه', 'نَصَرَه']"
إنارة,"['بَهْر', 'إِدْهَاش', 'تَحيِير']"
مجد,"['شَرَف', 'عُلُوّ', 'عِزَّة']"
رمى,"['أَلْقَى', 'قَذَفَ']"
رمي,"['رَفْض', 'تَرْك', 'مُمَانَعَة']"
حريّ,"['خَلِيق', 'جَدِير']"
اشتباه,"['اِلْتِبَاس', 'اِخْتِلاط', 'ِِإِشْكَال']"
أتقن,"['أَحْكَمَ', 'أَجَادَ']"
اكتراص,['جَمْع']
ثرثرة,"['كَثْرَة الكَلاَم', 'مُبَالَغَة فِيه']"
انصراف,['اِنْكِفَاف']
ترطّب,"['اِبْتَلَ', 'تَبَلَّلَ', 'تَنَدَّى']"
استقلّ,['اِسْتَصْغَرَ']
اكتراب,"['حُزْن', 'اِغْتِمَام']"
عرض,"['سَنَحَ', 'حَضَرَ', 'خَطَرَ']"
عرف,['تَعَرَّفَ']
تأقة,['شِدّة الغَضَب']
ثابت,"['رَزِين', 'وَقُور', 'رصِين']"
ثلب,['ذُو عِيْب']
تفوّق,"['سَبْق', 'تَقَدُّم']"
بدران,"['سُرْعَة', 'عَجَلَة']"
طاهر,"['بَرْز', 'عَفِيف', 'حَكِيم']"
ثابر,"['دَاوَمَ', 'وَاظَبَ']"
تقلّل,['تَنَزَّرَ']
استهنأ,"['اِسْتَمْرَأَ', 'اِسْتَطْيَبَ']"
سقيم,['مَرِيض']
أباطيل,"['تُرَّهَات', 'كَلاَمفَارِغ']"
أجّل,"['سَوَّفَ', 'مَطَلَ']"
أجّم,"['نَزَلَ', 'تَرَجَّلَ']"
رؤية,"['بَصَر', 'نَظَر']"
حميم,['حَارّ']
تهمة,['اِتِّهَام']
أقام(في المكان),"['سَكَنَفيه', 'دَامَفيه']"
ضمّر,"['شَزَّبَ', 'هَزَّلَ']"
حبور,"['سَعَادَة', 'بَهْجَة', 'سُرُور']"
حرارة,"['سُخُونَة', 'حَمَاوَة']"
ارتياب,['شَّكّ']
تأريث,['إِيقَاد']
معتقل,"['أَسير', 'سَجين']"
﻿ائتلاف,"['اِجْتِماع', 'اِتِفاق']"
أبطل(ه),"['أَهْدَرَدَمَهُ', 'أَبَاحَه']"
متواني,"['خَامِل', 'سَافِل', 'سَاقِط']"
استخرج(من المخبأ),"['اِنْتَبَشَ', 'نَبَشَ']"
خاتمة,"['عَاقِبَة', 'آخِر']"
تنفير,"['تَجْفِيل', 'طَرْد']"
أجّر,['أَكْرَى']
تقلّص,"['اِنْضِمَام', 'اِنْزِوَاء', 'تَجَمُّع']"
انشقاق,['اِنْفِطَار']
دفؤ,['سَخَنَ']
أبن,"['عابَ', 'ذَمَّ']"
أبه,['فَطِنِ']
أبى,"['كَرِهَ', 'رَفَضَ']"
تنكّير,['تَجْهِيل']
دفع,"['دحْر', 'طَرْد', 'إبْعَاد']"
خلا-بطنه-,"['خَمِصَ', 'ضَمُرَ']"
كثرة-النبات-,['خِصْب']
أجّت النار,"['اضطرمت', 'تَلَهَّبَت']"
دجل,['كذِب']
دجن,['أظْلَمَ']
دجى,['ظلْمَة']
رصين,"['زَمِّيت', 'وَقُور', 'رَزِين']"
ابتدأ,"['اِفْتَتَحَ', 'اِسْتَهَلَ']"
وراء,['خَلْفَ']
