error,correction
[Rr]eykjaví,Reykjavik
[rR]oumm?ann?ie,Roumanie
[rR]oyaume-[uU]n,Royaume-Uni
russi,Russie
[rR]wa[mn]d,Rwanda
[sS]ahara[ -][oO]cc?idd?enta,Sahara occidental
salomo,Salomon
salvado,Salvador
samo,Samoa
sénéga,Sénégal
serbi,Serbie
[sS][éeèêë][iy]chell?es,Seychelles
[sS]ierr?a[ -][lL][éeèêë]onn?,Sierra Leone
singapou,Singapour
slov(aquie|énie),Slov\1
[Ss]ri[ -][lL]a[mn]c?k,Sri Lanka
[sS]omm?all?ill?an,Somaliland
[Ss]u[eéèêë]d,Suède
[Ss]urr?inn?amm?(e?),Surinam\1
[Ss]wazz?ill?ande,Swaziland
syri,Syrie
[Tt]a[dj]*i[chk]*i[sth]*a,Tadjikistan
ta(i|ï)wa,Ta\1wan
[Tt]anzanie,Tanzanie
tcha,Tchad
[tT]ch[eéèêë]t?ch[eéèêë]nn?ie,Tchétchénie
[tT]ch[eéèêë][ck]*oslovaquie,Tchécoslovaquie
[tT]ch[eéèêë](?:[chk]*|qu)ie,Tchéquie
[Tt]h?a[iï]ll?and,Thaïlande
timo,Timor
tog,Togo
[tT]ransi?nn?i?strie,Transnistrie
[tT]rinn?i(té|dad)[ -]et[ -][tT]obb?agg?,Trini\1-et-Tobago
tunisi,Tunisie
[Tt]urc?km[eéèêë]?nis?ta,Turkménistan
[Tt]urc?qui,Turquie
tuval,Tuvalu
ukrain,Ukraine
[Uu]nion[ -][Ss]oviétiqu,Union soviétique
[uU]rr?ugg?u?a[iïy],Uruguay
[vV]ann?uatt?,Vanuatu
[vV]att?icc?a,Vatican
[vV][eéè]nn?[eéè]zu[eéè]ll?,Venezuela
[wW]all?is[ -]et[ -][fF]utt?unn?,Wallis-et-Futuna
[yY][eéèêë]mm?e,Yémen
[zZ]a[mn]bi,Zambie
[zZ]i[mn]bab(?:w|ou)[eé]e,Zimbabwe
[Aa]ff?riqu,Afrique
Afrique du sud,Afrique du Sud
[Aa]m[eéèêë]rique(s?),Amérique\1
Amérique du sud,Amérique du Sud
Amérique du nord,Amérique du Nord
([Aa]nta|[Aa])rtique(s?),\1rctique\2
[Aa]si,Asie
Asie du sud-est,Asie du Sud-Est
europ,Europe
([Ee])urope de l(['’])[Ee]s,Europe de l\2Est
([Ee])urope de l(['’])[Oo]ues,Europe de l\2Ouest
Europe du nord,Europe du Nord
Europe du sud,Europe du Sud
[Oo]c[eéèêë]ani,Océanie
(a|A)bandon([aâeéèio]),\1bandonn\2
([aA]|[rR]a)bbat(s?),\1bat\2
([aA]|[rR]a)bb?att?([raeîou]|i[^a]),\1batt\2
[a|â]b[i|ì|î]me(s?),abîme\1
[A|Â]b[i|ì|î]me(s?),Abîme\1
([aA]|[sS]ura)bb?ondamm?[ae]n,\1bondamment
(a|A)bb?r[éèe]viation(s?),\1bréviation\2
(a|A)b[sc]s?isse(s?),\1bscisse\2
(a|A)calmie(s?),\1ccalmie\2
(a|A)cept,\1ccept
(a|A)cc?essibb?ill?itt?ée?(s?),\1ccessibilité\2
([aA]|[rR]a|ina)cc?omm?od,\1ccommod
([aA]|[rR]é?a)cc?o[mn]pagn,\1ccompagn
([aA]|[dD]ésa|[rR]é?a|ina)cord,\1ccord
(a|A)cc?(?:eu|ue)il(s?),\1ccueil\2
([aA]|[iI]na)cc?(?:eu|ue)ill?([aeiîo]),\1ccueill\2
([aA]|[rR]é?a)cus,\1ccus
(a|A)s?cs?erbe(s?),\1cerbe\2
(a|A)ch[ée]vement(s?),\1chèvement\2
(a|A)ccompte(s?),\1compte\2
(a|A)c?qu?(i?[eéè]r|î|ir|is[eis]),\1cqu\2
(a|A)c?qu?i([st]s?),\1cqui\2
(a|A)c?qu?itt?([âeéèio]|ai[^n]|an[^i]|a[^in]),\1cquitt\2
(a|A)ctivitt?ée?(s?),\1ctivité\2
(a|A)ctuall?itt?ée?(s?),\1ctualité\2
(a|A)dm[eèé]t([raeio]),\1dmett\2
(a|A)[eèéêë]rologi(e?|que?)(s?),\1érologi\2\3
(a|A)[eèéêë]ropag,\1réopage
(a|A)r?[eèéêë]r?oport(s?),\1éroport\2
(a|A)faire(s?),\1ffaire\2
([aA]|[rR]éa)ff?ill?i,\1ffili
([aA]|[rR]éa)firm,\1ffirm
(A|a)ffin (de?|que?),\1fin \2
 age(s?),âge\1
(a|A)gg?ll?omm?[ée]ration(s?),\1gglomération\2
(a|A)ggio(s?),\1gio\2
(a|A)gg?r[eéèê][cst]s?ion(s?),\1gression\2
(a|A)gg?r[eéèê][cst]s?ivitt?ée?(s?),\1gressivité\2
(a|A)i?ll?i?eurs,\1illeurs
aî,ait
(a|A)ll?entour(s?),\1lentour\2
ame(s?),âme\1
Ame(s?),Âme\1
(a|A)mm?itt?iée?(s?),\1mitié\2
(a|A)nn?[ée][gc]dott?(es?|iques?),\1necdot\2
(a|A)nonce([sr])?,\1nnonce\2
(a|A)nth?oll?ogie(s?),\1nthologie\2
(a|A)ntic?quitt?ée?(s?),\1ntiquité\2
(a|A)nxyog[eéèê]ne(s?),\1nxiogène\2
(a|A)pper(c|ç),\1per\2
(a|A)pp[eéèê]rr?itt?if(s?),\1péritif\2
(a|A)pp?ogée,\1pogée
(a|A)pareil(s?),\1ppareil\2
(a|A)pp?arr?[ae]mm?en,\1pparemment
(a|A)pp?art(enir|enai[st]|enaient|enances?|iend|iendrai[st]|ien[st]|enu|enant),\1ppart\2
(a|A)pp?artenue?s,\1ppartenu
(a|A)pp?artienn?e(nt?|s?),\1ppartienne\2
([aA]|[rR]a)pp?ell?(er|ée?s?|ante?s?|ons),\1ppel\2
([aA])pp?[éeè]ll?a[cst]s?ion(s?),\1ppellation\2
([aA]|[iI]na)pp?ll?i(?:c|qu)a(bles?|bilités?|tions?|teurs?),\1pplica\2
(a|A|ina|Ina|ra|Ra)pliqu(er?|ée?s?|ai[st]|aient),\1ppliqu\2
(a|A|ra|Ra)port(er|é?e?s?|[ae]nt|i?ons|i?ez|ai?s?|ait|aient|erai?s?|erait|eri?ons|eri?ez|eront|eraient),\1pport\2
(a|A)préci(er|ée?s?|es?|i?ons|i?ez|ent|ais?|ait|aient|as?|âmes|âtes|èrent|erais?|eras?|eri?ons|eri?ez|eront|erait|eraient|ant),\1ppréci\2
(a|A)pp?r[éeè]h?en(der|dée?s?|dai?s?|dait|daient),\1ppréhen\2
(a|A)pp?r[éeè]h?en(?:t|ss?)(ions?),\1ppréhens\2
(a|A)prendr,\1pprendre
([aA]|[iI]na|[rR]a)pp?roch(er?|ée?s?|as?|ais?|ait|aient|able|antes?|ants?|ements?),\1pproch\2
([aA]p|[rR]éap)?p?rovisionn?(er|ée?s?|ements?|a|ai[ts]|aient),\1provisionn\2
(a|A)pr[éeêè]s,\1près
(a|A)rd[ae]mm?[ae]n,\1rdemment
(L|l|S|s|C|c)('|’|on|ette) ?(\[\[)?(a|A)rmoiries,\1es \3\4rmoiries
Armoiri,Armoiries
(a|A)rrières-cuisine,\1rrière-cuisines
(a|A)rondi([^n]),\1rrondi\2
(a|A)rtisant?(s?),\1rtisan\2
(a|A)s[sc]?[ae]n[cst](eurs?|ions?|ionnels?|ionnelles?),\1scens\2
(a|A)ssocia,\1social
(a|A)stérique(s?),\1stérisque\2
(a|A)the(is[mt]e|e?)(s?),\1thé\2\3
(a|A)th?l[éèêëe]te(s?),\1thlète\2
([aA])tach,\1ttach
([aA]|[iI]na|[rR]éa)taqu,\1ttaqu
(a|A)tei,\1ttei
(a|A)tteind(s?),\1tteint\2
(a|A)titude(s?),\1ttitude\2
([aA]|[rR]éa)tribu,\1ttribu
(a|A)u vu(e?s?),\1u vu
(a|A)us?trall?,\1ustral
(a|A)uth?[ae]nti,\1uthenti
(a|A)ux? commandes,\1ux commandes
(a|A)uxilliaire(s?),\1uxiliaire\2
(a|A)uxquel(le),\1uxquel\2s
(a|A)valid,\1valis
(a|A)vants-poste,\1vant-postes
[àa] proprement parl,à proprement parler
(B|b)acc?all?aurr?[eé]at?(s?),\1accalauréat\2
(B|b)allistique(s?),\1alistique\2
(B|b)arage(s?),\1arrage\2
(B|b)âteau(x?),\1ateau\2
(B|b)[aâ]tt?[iî]mm?ent(s?),\1âtiment\2
([aA]b|[bB]|[cC]omb|[Dd]éb|é|[rR]ab|[rR]eb)a(tante?s?|tre|tue?s?|tes?|tent),\1at\2
(b|B)e?aucc?oup?s,\1eaucoup
(b|B)énifice(s?),\1énéfice\2
(b|B)[ëèée]te(s?),\1ête\2
(b|B)il?b(?:li?|i)ograph,\1ibliograph
(b|B)il?b(?:li?|i)oth?[eéèêë](?:qu|c)aire(s?),\1ibliothécaire\2
(b|B)il?b(?:li?|i)oth?[eéèêë]que(s?),\1ibliothèque\2
(B|b)ient[oô]t?s,\1ientôt
(B|b)ijou,\1ijoux
(B|b)leu,\1leus
(b|B)oeuf(s?),\1œuf\2
(b|B)oît(eux|euses?|er|ent|ai[ts]|aient),\1oit\2
(b|B)oudd?h?i(s[mt]e|que)(s?),\1ouddhi\2\3
(b|B)oull?e?vers(ante?s?|ements?|er?|ée?s?|ai?s?|ait|aient|ent|erai?s?|erait|eraient),\1oulevers\2
(b|B)ri[eèé]ve?tt?ée?(s?),\1rièveté\2
(b|B)rill?[ae]mm?en,\1rillamment
(b|B)ritt?ann?ique(s?),\1ritannique\2
(b|B)ru(?:i|ill|y)amm?en,\1ruyamment
(c|C)abl(e|ée?|age|eur|euse|ante?)(s?),\1âbl\2\3
(C|c)aillou,\1ailloux
(C|c)am[eè]ra(s?),\1améra\2
(c|C)app?acitt?ée?(s?),\1apacité\2
(C|c)arr?act[éeèêë]rr?e(s?),\1aractère\2
(C|c)arr?act[éèeêë]rr?is(tiques?|tiquement?|ations?|ée?s?|er|ante?s?|i?ons|i?ez|ent|ai?s?|ait|aient|erai?s?|erait|eri?ons|eri?ez|eront|eraient),\1aractéris\2
(C|c)arr?i[éeè]rr?e(s?),\1arrière\2
(C|c)ass?err?oll?e(s?),\1asserole\2
(C|c)ath?all?h?[iy]th?ique(s?),\1atalytique\2
(C|c)auchemard(s?),\1auchemar\2
(C|c)ep[ae]nd[ae]nts,\1ependant
([Cc][’'])est +[àa] +dir,\1est-à-dire
([Cc])-?à-?,\1\'est-à-dire
(C|c)e(lui|lles?|ux)-?[cç],\1e\2-ci
(C|c)e(lui|lles?|ux)-?l[aà],\1e\2-là
(C|c)ell?ull?e(s?),\1ellule\2
(C|c)ette\s+article,\1et article 
(c|C)ha(?:c|qu?)un(e?),\1hacun\2
(C|c)hampion(e|ats?),\1hampionn\2
(c|C)haque,\1haque
(c|C)haranco,\1haranço
(C|c)hassi,\1hâssis
(C|c)h[aàáâ]te?au(x?),\1hâteau\2
(c|C)hef(s?)[ -]d([’'])(?:oe|œ)uvres,\1hef\2-d\3œuvre
(c|C)hef[ -]lieue,\1hef-lieu
(c|C)ette homm,\1et homme
(c|C)heveau,\1hevaux
(c|C)heu?veu[sx],\1heveux
(C|c)hifre(s?),\1hiffre\2
(C|c)hi[f]re(s?)\s*d([’'])affair,\1hiffre\2 d\3affaires
(c|C)hoeur(s?),\1hœur\2
(c|C)i dess(o?)u,\1i-dess\2us
(c|C)inquante,\1inquante
(c|C)inqui[ée]mm?e(ment),\1inquième\2
(c|C)lartée?(s?),\1larté\2
(c|C)l[oô]tt?urr?((?:er)?(?:a(?:s|i(?:s|t|ent)?)?|i?(?:ez|ons))|ass(?:es?|iez|ions)|â(?:mes|t|tes)|(?:èr|ass)?ent|(?:ée?|e)s?|er(?:ont)?|ant),\1lôtur\2
(c|C)oeur(s?),\1œur\2
(c|C)oll?ection(s?),\1ollection\2
(c|C)oll?ectionn?((?:er)?(?:a(?:s|i(?:s|t|ent)?)?|i?(?:ez|ons))|ass(?:es?|iez|ions)|â(?:mes|t|tes)|(?:èr|ass)?ent|(?:ée?|e)s?|er(?:ont)?|ant|eurs?|euses?|ismes?),\1ollectionn\2
(c|C)ommité(s?),\1omité\2
([cC]|[rR]ec|[tT]éléc|[dD]éc)omand((?:er)?(?:a(?:s|i(?:s|t|ent)?)?|i?(?:ez|ons))|ass(?:es?|iez|ions)|â(?:mes|t|tes)|(?:èr|ass)?ent|(?:ée?|e)s?|er(?:ont)?|ant),\1ommand\2
(c|C)omand(ant|ement|itaire|ite|itée?|o|eur|erie)(s?),\1ommand\2\3
(c|C)omm?[éeè]mm?orr?((?:er)?(?:a(?:s|i(?:s|t|ent)?)?|i?(?:ez|ons))|ass(?:es?|iez|ions)|â(?:mes|t|tes)|(?:èr|ass)?ent|(?:ée?|e)s?|er(?:ont)?|ant|ations?|atifs?|atives?|ables?),\1ommémor\2
(c|C)omm?[ae]nc(ement|er?|ée?s?|ent),\1ommenc\2
(c|C)omm?iss?a(ires?|riats?),\1ommissa\2
(c|C)omm?iss?ion(s?|né?|née?s?|nais?|nait?|na?|ne?|naient?|nement?|nements?),\1ommission\2
(c|C)omun(s?),\1ommun\2
(c|C)omm?un((?:auté|e|ale?|autaire|autarité)s?|aux),\1ommun\2
(c|C)omm?unn?(is[mt]es?),\1ommun\2
([cC]|[iI]nc)omm?unn?i(cations?|quer|quée?s?|cable|cateurs?|cateuses|catifs?|catives?|er|ée?s?|ai[st]|aient),\1ommuni\2
([cC]|[iI]nc)omparr,\1ompar
([cC]|[iI]nc)omp[eéè]t[ae]n(?:c|ss?)e(s?),\1ompétence\2
([cC]|[iI]nc)ompl[eéèê]t(er|ifs?|ives?|udes?),\1omplét\2
([cC]|[iI]nc)ompl[eéèê]temm?en,\1omplètement
(C|c)onc(oi[s]t|ue?s?),\1onç\2
(c|C)oncc?urr?[ea]n(te?s?|ces?|tiels?|tielles?|cer|cée?s?|çai?s?|çait|çaient|çant),\1oncurren\2
(c|C)onff?idd?[ae]n[cst]iel(s?),\1onfidentiel\2
([cC]|[mM]éc|[rR]ec)onn?aiss?a(nces?|nte?s?|bles?),\1onnaissa\2
(c|C)onn?ection(s?),\1onnexion\2
([cC]|[dD]éc|[rR]ec)onn?ect(er|ée?s?|ant|iques?|es?|i?ons|i?ez|ent|ai?s?|ait|i?ons|i?ez|aient|erai?s?|erait|eri?ons|eri?ez|eront|eraient),\1onnect\2
(c|C)onn?ot?((?:er)?(?:a(?:s|i(?:s|t|ent)?)?|i?(?:ez|ons))|ass(?:es?|iez|ions)|â(?:mes|t|tes)|(?:èr|ass)?ent|(?:ée?|e)s?|er(?:ont)?|ant|ations?|ables?),\1onnot\2
([cC]|[iI]nc|[mM]éc|[rR]ec)onu(e?s?),\1onnu\2
(c|C)on[cs]s?ien[cs]e(s?),\1onscience\2)
(c|C)on(?:c|ss?)en(?:ss?|[cç])u(s|els?|elles?),\1onsensu\2
([cC]|[iI]nc)on(?:c|ss?)[eéè]qu[ae]n(ces?|te?s?),\1onséquen\2
([cC]|[aA]utoc|[iI]nc|[sS]urc)onsomm?(ables?|abilité|er|ée?s?|es?|ai[st]|aient|a|ations?|ateurs?|atrices?|ations?),\1onsomm\2
(c|C)onsonn?[ae]n(?:c|ss?)e(s?),\1onsonance\2)
(c|C)onstamm?[ae]n,\1onstamment
(C|c)ontr[oô]ll?(ent|er|ez|ons|es?|ée?s?|ait|aient|ais),\1ontrôl\2
(C|c)onvainc?,\1onvainc
([cC]|[rR]ec)onv[ae]n[cst]ion(s?),\1onvention\2)
([cC]|[dD]éc|[rR]ec)onv[ae]n[cst]ion(els?|elles?|ée?s?|ellement|ements?),\1onventionn\2)
(\-?[cCkK])orr?[eéèêë]e(n?s?),\1orée\2
(c|C)orr?ec[cst]ion(s?),\1orrection\2
(c|C)orr?espondan(te?s?|ces?),\1orrespondan\2
([Dd][eu]|[àÀ]|[aA]ux?) coté(s?),\1 côté\2
([cC]|[dD]éc|[eE])ourr?age(s?|ux?|uses?|ante?s?|usement),\1ourage\2
([cC]|[cC]onc)ourr?an(te?s?),\1ouran\2
(c|C)ourr?amm?[ae]n,\1ouramment
(c|C)ourr?onn?(es?|er|ements?|i?ons|i?ez|ent|ai?s?|ait|aient|erai?s?|eri?ons|eri?ez|eraient|eront|ant|ée?s?),\1ouronn\2
(c|C)outûme(s?),\1outume\2
(c|C)ruautt?ée?(s?),\1ruauté\2
(c|C)upp?idd?itt?ée?(s?),\1upidité\2
(c|C)urr?iositt?ée?(s?),\1uriosité\2
(c|C)urr?icc?ull?um(s?),\1urriculum\2
(d|D)'o,\1\'où
(d|D)ang[eéèê]rr?oss?itt?ée?(s?),\1angerosité\2
([dD]|[rR]ed)[éèe]ball?(?!k|anc|our),\1éball
([dD]é|[Ee]m)barr?as,\1barras
([dD]é|[Ee]m)barr?ass?(ée?s?|er|es?|ai[st]|aient|as?|at|ante?s?),\1barrass\2
([dD])[eéèêë][sc]h[eéèêë]t[eéèêë]rr?ie(s?),\1échèterie\2
([dD])[eéèêë][sc]h[eéèêë]tt[eéèêë]rr?ie(s?),\1échetterie\2
([dD]|[aA]utod)[ée]ff?[ae]n([cçs]|ss)e(s?|ur?|use?|urs?|uses?),\1éfense\3
(d|D)[éeè]j[aà],\1éjà
(d|D)[éeè]je[uû]nn?er(s?),\1éjeuner\2
(d|D)[éeè]mm?i(?:ss?|c)ionn?([aâeéèio]),\1émissionn\2
demie-sœu,demi-sœur
demie-soeu,demi-sœur
(d|D)en[cs]itt?ée?(s?),\1ensité\2
(d|D)[éèeêë]pp?ann?(age|er|ée?s?|ant|es?|i?ons|i?ez|ent|ai?s?|ait|aient|erai?s?|eri?ons|eri?ez|eraient),\1épann\2
(d|D)(é|e|è)rnn?i[éeà]rr?,\1ernière
(D|d)[éeè]s[éeè]sp[éeè]rr?[éeè]men,\1ésespérément
(D|d)[éeè]s(o?eu|œu)vr(ement|ée?s?),\1ésœuvr\3
(d|D)[éeè]sormai[st],\1ésormais
(d|D|Red|red)[eéè]ss?inn?(|en|e[rsz]|[oaièéâ]),\1essin\2
(d|D)étéct(er|es?|ions?|eurs?|ives?|rices?),\1étect\2
(d|D)[éeè]tt?[eè]rmin,\1étermin
(d|D)euxi(é|e)me(ment),\1euxième\3
(d|D)[ée]vell?opp?(ai[st]|aient|er?|eurs?|ée?s?|ement),\1évelopp\2
(d|D)ic[cst]ionn?aire(s?),\1ictionnaire\2
([dD]|[iI]nd)iff?[eé]rr?en(ces?|te?s?|tiation|tielles?|tiels?|[ct]ier),\1ifféren\2
([dD]|[iI]nd)iff?[éeè]rr?[ae]mm?[ae]n,\1ifféremment
(d|D)iff?ic(ile|ilement),\1iffic\2
(d|D)iff?icultée?(s?),\1ifficulté\2
(d|D)ifus(ions?|er|es?|ée?s?|ant?|i?ons|i?ez|ent|ai?s?|ait|aient|erai?s?|erait|eri?ons|eri?ez|eront|eraient),\1iffus\2
(d|D)ignitt?ée?(s?),\1ignité\2
(d|D)ilemn?e(s?),\1ilemme\2
(d|D)ipp?l[oô]mm?(es?|ée?s?|er|ante?s?|i?ons|i?ez|ent|ai?s?|ait|aient|erai?s?|erait|eraient|eri?ons|eri?ez|eront),\1iplôm\2
([dD]|[iI]nd)irr?ectemm?en,\1irectement
([dD]|[bB]id|[cC]od|[oO]mnid|[uU]nid)irr?ection?(nels?|nelles?|s),\1irection\2
(d|D)iscou,\1iscours
(d|D)iscution(s?),\1iscussion\2
(d|D)isponnib(les?|ilités?),\1isponib\2
(d|D)issout,\1issous
di(ss?|[cç])ua(ss|t)i(on|f|ive),dissuasi
(d|D)iverge?a?n([ct]es?),\1ivergen\2
(d|D)ixi[ée]me(ment),\1ixième\2
([dD]|[dD]éd|[eE]nd)omm?ag(es?|ements?|ée?s?|er|as?|ai[st]|aient|eant|eables?),\1ommag\2
(d|D)onn?[ée]e(s?),\1onnée\2
(d|D)rosa(l|le|les),\1orsa\2
(d|D)ouze,\1ouze
(d|D)û(e|s|es),\1u\2
(d|D)uctill?itt?ée?(s?),\1uctilité\2
(d|D)urr?ett?ée?(s?),\1ureté\2
[éèe]cc?l[eéè]si(es?|as?|astes?|ale?s?|aux|astiques?),ecclési\1
[ÉÈE]cc?l[eéè]si(es?|as?|astes?|ale?s?|aux|astiques?),Ecclési\1
[ée]co?eu?rr?(ante?|ment|ée?s?|er?|ai[st]|aient|ent),écœur\1
[ÉE]co?eu?rr?(ante?|ment|ée?s?|er?|ai[st]|aient|ent),Écœur\1
[eé]coll?e(s?),école\1
[EÉ]coll?e(s?),École\1
Economie(s?),Économie\1
[éèe]cout(es?|és?|ées?|er|ez),écout\1
[ÉÈE]cout(es?|és?|ées?|er|ez),Écout\1
[éeèê]cc?rit(s?|ures?|oires?|eaux?|es?),écrit\1
[ÉEÈÊ]cc?rit(s?|ures?|oires?|eaux?|es?),Écrit\1
[éeèê]dit(ée?s?|er?|ai[st]|aient|ent|es|eurs?|rices?),édit\1
[ÉEÈÊ]dit(ée?s?|er?|ai[st]|aient|ent|es|eurs?|rices?),Édit\1
(e|E)ff?icacitt?ée?(s?),\1fficacité\2
[eé]gall?emm?en,également
[EÉ]gall?emm?en,Également
[ée]gall?itt?ée?(s?),égalité\1
[EÉ]gall?itt?ée?(s?),Égalité\1
eglise(s?),église\1
Eglise(s?),Église\1
[eè]gout(s?),égout\1
[EÈ]gout(s?),Égout\1
[ée]lectricitt?ée?(s?),électricité\1
[ÉE]lectricitt?ée?(s?),Électricité\1
electrique(s?),électrique\1
Electrique(s?),Électrique\1
[éeè]l[éeè]ctron(s?),électron\1
[ÉEÈ]l[éeè]ctron(s?),Électron\1
[ée]l[ée]mm?ent(aires?|s?),élément\1
[ÉE]l[ée]mm?ent(aires?|s?),Élément\1
elu(e?s?),élu\1
Elu(e?s?),Élu\1
[Eeé]lys[eé]e(s?),Élysée\1
([eE]|[rR]é?e)mbal([^lu]),\1mball\2
(e|E)mbarr?a(?:c|ss?)(er|ée?s?|ant|es?|i?ons|i?ez|ent|ai?s?|aient|erai?s?|erait|eri?ons|eri?ez|eront|eraient),\1mbarrass\2
[EÉée]mili,Émilie
(?:e|é)mm?i(?:c|ss?)ion(s?),émission\1
(?:É|E)mm?i(?:c|ss?)ion(s?),Émission\1
(e|E)n +terme +d,\1n termes de
(en|En)?cha(i|î)n(er|es?|[ae]nt|ée?s?|ements?),\1cha\2n\3
(e|E)ncc?orr?es,\1ncore
(e|E)ncourr?ag(ée?s?|er|ai[st]|aient|a|ements?|eante?|es?),\1ncourag\2
(e|E)ndomm?ag(er|ée?s?|eant|es?|i?ons|i?ez|ent|eai?s?|eaient|erai?s?|erait|eri?ons|eri?ez|eront|eraient),\1ndommag\2
(e|E)nemi(e?s?),\1nnemi\2
(e|E)[mn]ss?e[nm]bl,\1nsemble
(e|E)ntitt?ée?(s?),\1ntité\2
(e|E)ntre[ -]autr,\1ntre autres
(e|E)ntra(i|î)nn?(er?|[ae]nt|ée?s?|ements?|eurs?),\1ntra\2n\3
(e|E)nvirr?onn?(ements?|ementale?s?|ementaux|ementalis[mt]es?|ante?s?|er|ée?s?|ai?s?|ait|aient),\1nvironn\2
episode(s?),épisode\1
Episode(s?),Épisode\1
epoque(s?),époque\1
Epoque(s?),Époque\1
epou(x|ses?|ser|sai[st]|sa|saient|sé|ée?s?),épou\1
Epou(x|ses?|ser|sai[st]|sa|saient|sé|ée?s?),Épou\1
Equation(s?),Équation\1
[eé]quipp?e(s?),équipe\1
[EÉ]quipp?e(s?),Équipe\1
(e|E)rr?onn?é(e?s?),\1rroné\2
(e|E)sapce(s?),\1space\2
(e|E)ss?en([tscç]|ss)iell?emm?en,\1ssentiellement
(e|E)ss?en([tscç]|ss)iel(le?),\1ssentiel\3
eta(i[st]|ient|nt),éta\1
Eta(i[st]|ient|nt),Éta\1
Etampe,Étampes
(pr)?[éeè]tandu(e?s?),\1étendu\2
[ÉEÈ]tandu(e?s?),Étendu\1
Etat(s?),État\1
[ée]tt?[eéèê]rnitt?ée?(s?),éternité\1
[EÉ]tt?[eéèê]rnitt?ée?(s?),Éternité\1
[EÉée]tienn?,Étienne
etiologie(s?),étiologie\1
Etiologie(s?),Étiologie\1
[eé]tonn?amm?en,étonnamment
[EÉ]tonn?amm?en,Étonnamment
(e|é)tonn?emm?en,étonnement
[éèe]tre(s?),être\1
[EÉÈ]t(res?|es),Êt\1
e(tud),é\1
E(tud),É\1
(é|É)thymologi,\1tymologie
Eth?ymologi,Étymologie
eth?ymologi,étymologie
€uros,€
"(e|E)uropp?[eé]{1,2}n(s?|nes?)",\1uropéen\2
(é|e)ventuall?itt?ée?(s?),\1ventualité\2
[eé]ventuell?emm?en,éventuellement
[EÉ]ventuell?emm?en,Éventuellement
[eé]vid[aeé](mm?)[ae]n[ts],évide\1ent
[EÉ]vid[ae](mm?)[aeé]n[ts],Évide\1ent
(e|E)xep,\1xcep
(e|E)xc?eptionn?e(ls?|lles?|llement),\1xceptionne\2
(e|E)xc?ell?(ents?|entes?|ences?|er|ée?s?|ai[st]|aient),\1xcell\2
(e|E)[cx]c?entricitt?ée?(s?),\1xcentricité\2
[EÈÉ]x[éeè]cut,Exécut
[éèe]x[éeè]cut,exécut
(e|E)xig(?:ea|a|e)nce(s?),\1xigence\2
(e|E)xig[ae]nte(s?),\1xigeante\2
([eE]|[cC]oe|[iI]ne)xist[ae]n[cs],\1xistence
([eE]|[iI]ne)xpliquable(s?),\1xplicable\2
(e|E)xt[ae]n[st]ion(s?),\1xtension\2
(e|E)xtr[éèeê]me?men,\1xtrêmement
(e|E)xtr[éèeê]mitt?ée?(s?),\1xtrémité\2
(ré-?)?[eé]chantillonage,\1échantillonnage
(f|F)acade(s?),\1açade\2
(f|F)acc?ultée?(s?),\1aculté\2
([vV]ous (ne )?(me )?(les? |la )?)faîte,\1faites
(f|F)a(sc?|cs?)inn?(ation|ante?s?|ée?s?|er|ai[st]|aient),\1ascin\3
(f|F)auss?ett?ée?(s?),\1ausseté\2
(f|F)[éèeê]conditt?ée?(s?),\1écondité\2
(f|F)[eéèê]rm[eéèê]tt?ée?(s?),\1ermeté\2
(f|F)ertill?itée?(s?),\1ertilité\2
(f|F)i[eéèê]rtée?(s?),\1ierté\2
(f|F)ill?iall?e(s?),\1iliale\2
(f|F)inn?all?emm?[ae]nt,\1inalement
(f|F)oeu?t(al|ales?|aux|us|ologies?),\1œt\2
([fF]|[dD]ysf|[Pp]lurif)onctio(nement|ner|née?s?|nai[st]|naient|naire(s?))|naliser|nalismes?|nalistes?|nariat|narisation|nels?|nelles?|nellement,\1onction\2
(f|F)onc[cst]ionn?aire(s?),\1onctionnaire\2
(f|F)onctionn?alitée?(s?),\1onctionnalité\2
(f|F)orc(e|é|è)mm?ents,\1orcément
(f|F)ragill?itt?ée?(s?),\1ragilité\2
(f|F)rancais(e?s?),\1rançais\2
(f|F)ratt?[eéèê]rnitée?(s?),\1raternité\2
(f|F)r[éeè]qu[eéèa]mm?[ae]nts,\1réquemment
(F|f)r[éêè]t(s?),\1ret\2
(f|F)rugalitt?ée?(s?),\1rugalité\2
([bdefpstBDEFPST])[uû]rr?en,\1urent
(f|F)usion(ée?s?|er|ai[st]|aient|ement),\1usionn\2
(G|g)allerie(s?),\1alerie\2
([gG])arcon((?:net?|ère)?s?),\1arçon\2
(G|g)az,\1az
(G|g)[éeè]nn?[éeè]rr?all?emm?en,\1énéralement
(G|g)ênois(e?s?),\1énois\2
(G|g)enou,\1enoux
(g|G)[eéèêë]stionn?aire(s?),\1estionnaire\2
(g|G)race ([aà]|aux?),\1râce \2
([Dd]isg|[Gg])r(?:â|a)(?:c|ss)i(er|ée?s?|ais?|as?),\1raci\2
([Uu]n|[Ll]e|[Pp]lus|[Ee]n|[Dd]u|[Tt]rop) grand nombre,\1 grand nombre
(h|H)abb?ill?ett?ée?(s?),\1abileté\2
(h|H)amec,\1ameç
(h|H)[eé]mm?orr?agie?(s?),\1émorragie\2
(h|H)éro,\1éros 
