error,correction
\b([sS])[iy](?:nth?|th)(?<!ynth)esi([sz](?:e(?:[ds]?|rs?)|ing)|s)\b,\1ynthesi\2
\bwide-range(?= of\b),wide range
\b([iI])(?:[iI]n\s+the|nt\s+he)\b,\1n the
\b([eE]ast|[nN]orth|[sS]outh|[wW]est)er(?:n[–‑−—―\s])?most(?=\s+(?:district|end|of|p(?:art|o(?:int|rtion))|tip)\b),\1ernmost
\bNor(?<=\b[tT]he\s+Nor)thernmost\b,northernmost
\bSou(?<=\b[tT]he\s+Sou)thernmost\b,southernmost
\bEas(?<=\b[tT]he\s+Eas)ternmost\b,easternmost
\bWes(?<=\b[tT]he\s+Wes)ternmost\b,westernmost
\b([sS])(?:el|le)ct(able|ed|i(?:ng|ons?|ve(?:ly)?)|men|ors?|s?)\b,\1elect\2
\b([uU])nbe(?:know|nown?)st\b,\1nbeknownst
\b([sS])u(?:ps?|sp)en[st](?<!uspens)(e|i(?:ons?|ve)|ory)\b,\1uspens\2
\b([pP])ho(?!spohor\b)(?:pho|spoh?o?)(?!n[iy])([a-z]+)\b,\1hospho\2
\b([aA])(?:kc?n?o(?:lw?e?|wl?e?)(?:d(?:eg|g?)|gd?)|ck(?:o(?:lw?e?|wl?e?)(?:d(?:eg|g?)|gd?)|no(?:lw?e?(?:d(?:eg|g?)|gd?)|w(?:l(?:e(?:d(?:eg)?|gd?)|d(?:eg|g?)|gd?)|e?(?:d(?:eg|g?)|gd?)))))(able|e(?:able|[ds]?|ments?)|ing|ments?)\b,\1cknowledg\2
\b([cC])ol+i?s+i?on(?<!collision|Col(?:lisi?on|son))(s)?\b,\1ollision\2
\b([dD])e(?:cl?|lc?)[ae](?<!ecla)r(ations?|e[ds]?|ing)(?<!ecares?)\b,\1eclar\2
\b([aA])p(?:or(?:ao?|oa?)|p(?:o(?:a|r(?:ao?|oa?))|r(?:ao?|oa?))|r(?:ao?|oa?))ch(?<!pproach)(e[ds]|ing)?\b,\1pproach\2
"\bcounter[–‑−—―\s](attack(?:ed|ing|s?)|p(?:arts?|oints?))(?<!counter(?:-|–)attac[a-z]{1,99})\b",counter\1
\b([rR])efele?ct(?!oq)([a-z]*)\b,\1eflect\2
\b([tT])ech(?:n(?:alo|ol)|o(?:lo|no?lo?))g(i(?:es|c(?:al(?:ly)?)?|s[mt]s?|zed?)|y)\b,\1echnolog\2
\b([sS])yno[mn]+[aioy][mn]+(?<!ynonym)([a-z]*)(?<!ynomones?)\b,\1ynonym\2
"\b([bB])ui?s+i?n+i?e+s+([a-z]{0,99})(?<!Busnes|usiness[a-z]{0,99})\b",\1usiness\2
\b([sS])ubi?si?a?d[aeiu]+(?:ra)?r(?<!bsidiar)(i(?:es|ty)|y)\b,\1ubsidiar\2
\b([iI])n+a[aeiou]?g+[aeiou]?[aeiou]?r+[eiou]?(?<![iI]naugur)a(l|t(?:e[ds]?|i(?:ng|ons?)))\b,\1naugura\2
\b([iI])n(?:er|t(?:er?|r))(?:iew|v(?:ew|ie?w))(?<!nterview)(e(?:d|[er]s?)|ing|s?)\b,\1nterview\2
"\b([sS]|[uU]ns)u+c+e+s+[aeiou]?f?f?u+(l+)(?<![sS]uccessful{1,9})(y)?\b",\1uccessfu\2\3
\b([rR])ea?s(?:a(?:[aeiu]r[aeiou]?ch?|r[aeiou]?ch?)|e(?:a(?:ch|r[aeiou]?ch?)|[eiu]r[aeiou]?ch?|r[aeiou]?ch?)|i(?:[aeiu]r[aeiou]?ch?|r[aeiou]?ch?)|r[aeiou]?ch?|u(?:[aeiu]r[aeiou]?ch?|r[aeiou]?ch?))(?<![rR]es(?:earch|ura?c))(e(?:[ds]|rs?)|ing)?\b,\1esearch\2
\b([dD]iso|[oO]|[rR]eo)r[aeiou]?g[aeiou]?[aeiou]?n[aeiou]?[aeiou]?([sz])[aeiou]?[aeiou]?ti?(?<!rgani[sz]ati)on(al(?:ly)?|s?)\b,\1rgani\2ation\3
"\b([iI])n[aeiou]?d[aeiou]?[aeiou]?v[aeiou]?[aeiou]?d?[aeiou]?[dl]?[aeiou]?[aeiou]?l(?<!nd(?:avl|evel))(?!e[s\b]|l(?:e|os))[aeou]?(?<!ndividu[ae]l)([a-z-\´ˈ׳᾿’′Ꞌꞌ`']{0,99})",\1ndividual\2
\beach\s+others['’´ˈ׳᾿‘′Ꞌꞌ`]?\s+,each other's 
\b([oO])wning\s+to\b,\1wing to
\b([iI]n|[rR]e)vovlv?(e(?:[ds]?|ments?)|ing|rs?)\b,\1volv\2
\b([sS])poke(m[ae]n|pe(?:ople|rsons?)|wom[ae]n)\b,\1pokes\2
"\b(1\d\d0|20\d0)['’´ˈ׳᾿‘′Ꞌꞌ`]s(?<=\b(?:[aA]n?|[tT]he)\s{1,9}(?:earl(?:ier|y)|later?|mid(?:dle)?)?[–‑−—―\s]{0,9}(?:1\d|20)\d0['’´ˈ׳᾿‘′Ꞌꞌ`]s)",\1s
\b([aA])geng(ies|y)\b,\1genc\2
\b([aA])dapat(ed|ing)\b,\1dapt\2
\bapprox(?<=located\s+approx|situated\s+approx)\.?(?=\s),approximately
\b([aA])p(?:p[or]|ro)x\.?(?=[ \)\n]),\1pprox.
\b([eE])ll?egaic\b,\1legiac
"\s+,(?<=[A-Za-z\d\)]\s+,)\s?",", "
"\s?,\s?\s?,\s?",", "
\b(\d\d?00)[–‑−—―\s][hH]undred(s)?(?!\s+euro|euro)\b,\1\2
\b([wW])rong[–‑−—―\s]doing(s)?\b,\1rongdoing\2
"\b([aA])rche?(a)?[elo]{1,6}go?(?<![aA]rcholog|ha?eolog)(y|i(?:cal(?:ly)?|sts?))\b",\1rch\2eolog\3
\b([pP])s[iy]ch?(?:ai?|i)tr([a-z]*)\b(?<!Psycatron),\1sychiatr\2
\bfair(s)?\s+(better|poorly|so\s+well|well)\b,fare\1 \2
\bfair(ed|ing)\s+(as\s+well|better|poorly|so\s+well|well)\b,far\1 \2
\b([fF]|[pP]ref|[rR]ef|[uU]nf)omat(?!\s+[mM]artin|[mM]artin)(t?(?:a(?:ble|nks?)|e(?:d?|rs?)|i(?:ngs?|on(?:als?|[s\b])|v(?:e(?:ly|s?)|ity))|k(?:ii|y)|or(?:ies|y)|s(?:k(?:ii|y))?))?,\1ormat\2
\b([pP])ostcript\b,\1ostscript
\b([oO])utisde\b,\1utside
\b([dD])iesease([ds])?\b,\1isease\2
\b(C(?:atherine|osimo)|Lorenzo|Marie)\s+de(?:['’´ˈ׳᾿‘′Ꞌꞌ`]\s?|[ '])Medici\b,\1 de' Medici
\b([gG])overen(ed|ing|ment|ors?|s)\b,\1overn\2
\b([uU])il(?:eann?\s+[pP]|lean(?:n\s+P|\s+[pP]))ipes\b,\1illeann pipes
\b([pP])roport(ed(?:ly)?|ing|s)\b,\1urport\2
\b([sS])neak\s+peak\b,\1neak peek
\b([mM]is|[rR]e|[uU]n)-nam(e[ds]?|ing)\b,\1nam\2
\b([dD]e|[iI]n|[rR]e|[tT]rans)(?:for(?:amti|maiti?)|ofra?mati)(on(?:al|s?)|ve(?:ly)?)\b,\1formati\2
\b([dD]|[pP]r)(?:e(?:cr|s(?:c(?:ri)?|r))|iscr)i(b(?:e[ds]?|ing)|ptions?)\b,\1escri\2
\b[vV]hs\b(?![^\s\.]*\.\w),VHS
\b((?:a(?:m|re)|is|w(?:as|ere))(?:\s+not|n['’´ˈ׳᾿‘′Ꞌꞌ`]t)?)\s+(force|use)\s+to\b,\1 \2d to
\b((?:a(?:m|re)|is|w(?:as|ere))(?:\s+not|n['’´ˈ׳᾿‘′Ꞌꞌ`]t)?)\s+(ex|op|pro)pose\s+to\b,\1 \2posed to
\b([cC]om|[pP]re)pair(ed|ing)\b,\1par\2
\b([cC]om|[pP]re)pairs\b,\1pares
\b([mM]uni|[pP]rin)ci?pal[aei]?t(?:i?t?(ies)|(e)(i)(s)|[ei]?t?(y))(?<!cipalit(?:ies|y))\b,\1cipalit\2\4\3\5\6
\b([cC]omm|[dD]is|[iI]m[mp])untiy\b(?![^\s\.]*\.\w),\1unity
\b([bB]ronze|[gG]old|[sS]ilver)[-–‑−—―\s]+([mM]edal)[-–‑−—―\s]+winning(?<!\w+\s+\w+-\w+)(?=\s),\1 \2-winning
"\bGold\s+[mM]edal(s)?\b(?<=\b(?:[a-z]+|Olympic)\s+\w+\s+\w+)(?=(?:[-,;/:/.\)])|\s+(?:a(?:nd|re|t)|by|for|game|i[ns]|with)\b)",gold medal\1
"\bSilver\s+[mM]edal(s)?\b(?<=\b(?:[a-z]+|Olympic)\s+\w+\s+\w+)(?=(?:[-,;/:/.\)])|\s+(?:a(?:nd|re|t)|by|for|game|i[ns]|with)\b)",silver medal\1
"\bBronze\s+[mM]edal(s)?\b(?<=\b(?:[a-z]+|Olympic)\s+\w+\s+\w+)(?=(?:[-,;/:/.\)])|\s+(?:a(?:nd|re|t)|by|for|game|i[ns]|with)\b)",bronze medal\1
\bGold\s+[mM]edalist(s)?\b(?<=\b[a-z]+\s+\w+\s+\w+),gold medalist\1
\bSilver\s+[mM]edalist(s)?\b(?<=\b[a-z]+\s+\w+\s+\w+),silver medalist\1
\bBronze\s+[mM]edalist(s)?\b(?<=\b[a-z]+\s+\w+\s+\w+),bronze medalist\1
\b([wW])alkoff\b,\1alk-off
\b([hH]ighest|[lL]owest|[tT]op)[–‑−—―\s]+grossing(?=\s+(?:concert|film|game|movie|t(?:itle|our))s?\b),\1-grossing
\b([lL])ong[–‑−—―\s]+awaited\b,\1ong-awaited
\b([sS])tripped[–‑−—―\s]+down\b(?=\s+(?:acoustic|bands?|productions?|sounds?|v(?:ersions?|iews?))\b),"\1tripped-down"""
\bwell\s+being\b(?<=\b(?:community|e(?:conomic|motional)|financial|general|h(?:er|is|uman)|its|mental|o(?:f|ne's|verall|wn)|p(?:hysical|sychological)|s(?:ocial|piritual|ubjective)|their)\s+well\s+being),well-being
"\bwell\s+being(?=(?:[,;\.]|\s+(?:and|of|t(?:hrough|o)|when)\s))",well-being
\bgame\s+winning[–‑−—―\s]+(goal|h(?:it|ome)|move|play)\b,game-winning \1
\b([hH])igh(?<![vV]ery high)(e(?:r|st))?\s+rank(ed|ing)[–‑−—―\s]+(m(?:embers?|ilitary)|offic(?:ers?|ials?))\b,\1igh\2-rank\3 \4
\b([sS])ky[–‑−—―\s]rocket(ed|ing)\b,\1kyrocket\2
\b([gG])rief[–‑−—―\s]+stricken\b,\1rief-stricken
\b([tT])hird[–‑−—―\s]+party(?=\s+(?:a(?:ggregators?|pp(?:lications?|s?))|c(?:andidates?|ompan(?:ies|y))|developers?|manufacturers?|pr(?:esidential|oducts?)|so(?:ftware|urces?)|tools?|vendors?)\b),\1hird-party
\b([oO])ne[–‑−—―\s]+off(?=\s+(?:appearances?|c(?:ars?|oncerts?)|e(?:pisodes?|vents?)|g(?:ames?|igs?)|housing|items?|m(?:atch(?:es)?|odels?)|p(?:ayments?|erformances?|roductions?)|reunions?|s(?:hows?|ingles?|pecials?)|[tT]ests?|tours?|vehicles?)\b),\1ne-off
\bpart[–‑−—―\s]+time\b(?<=\b(?:as|for|ha(?:[ds]|ve)|on)\s+a\s+\w+\s+\w+)(?!\s+unit)|\bpart\s+time(?=\s+(?:basis|employ(?:ees?|ment)|jobs?|st(?:aff|udents?)|work(?:ers?)?)\b),part-time
\bfull[–‑−—―\s]+time\b(?<=\b(?:as|for|ha(?:[ds]|ve)|on)\s+a\s+\w+\s+\w+)(?!\s+unit)|\bfull\s+time(?=\s+(?:basis|employ(?:ees?|ment)|jobs?|st(?:aff|udents?)|work(?:ers?)?)\b),full-time
\bhighest[–‑−—―\s]+(chart|peak)ing(?=\s+(?:album|entry|hit|re(?:cord|lease)|s(?:ingle|ong))s?\b),highest-\1ing
\bWright[–‑−—―\s]+Patterson(?=\s+A(?:FB\b|ir\s+Force\s+Base\b)),Wright-Patterson
"\b((?:\d+,)?\d\d+)[–‑−—―\s]+seat(?=\s+(?:a(?:rena|uditorium)|black\s+box|concert|lecture|majority|restaurant|st(?:adium|udio)|theat(?:er|re))\b)(?<!\bto\s+\d+\s+\w+)",\1-seat
\b([sS])tand[–‑−—―\s]+up(?=\s+(?:acts?|com(?:ed(?:ians?|y)|ics?)|guy|s(?:ets?|hows?))\b),\1tand-up
\b([2-9]|e(?:ight(?:een|y?)|leven)|f(?:i(?:ft(?:een|y)|ve)|o(?:rty|ur(?:teen)?))|nine(?:t(?:een|y))?|s(?:even|ix)(?:t(?:een|y))?|t(?:en|h(?:irt(?:een|y)|ree)|w(?:e(?:lve|nty)|o)))[–‑−—―\s]+way(?=\s+(?:battle|co(?:mpetition|ntest)|d(?:ance|ivision)|el(?:ection|imination)|f(?:eud|ight)|intersection|ladd+er|match|p(?:layoff|rimary)|race|split|t(?:ag|ie|rade))\b),\1-way
\b([lL]ower|[mM]iddle|[uU]pper|[wW]orking)[–‑−—―\s]+[cC]lass\s+(b(?:ackgrounds?|oys?)|famil(?:ies|y)|girls?|ho(?:mes?|uses?)|neighbou?rhoods?|p(?:arents|eople)|roots|(?:wo)?m[ae]n)\b,\1-class \2
\b([lL]ow|[uU]pp)er\s+middle-class\s+(backgrounds?|famil(?:ies|y)|ho(?:mes?|uses?)|neighbou?rhoods?|people|(?:wo)?m[ae]n)\b,\1er-middle-class \2
\byear[–‑−—―\s]+round\b(?<=\b(?:A(?:ctive|lmost|nd|vailable)?|a(?:ctive|lmost|nd|re|vailable)?|[fF]o(?:r|und)|[lL]ive[ds]?|[mM]aintained|[oO](?:ccurs?|f(?:fers)?|pe(?:n|rate[ds]?))|[pP](?:r(?:ecipitation|ovide[ds]?)|ublic)|[rR](?:ainfall|esident)|t(?:here|o)|To|[uU]sed|[wW](?:eather|ith))\s+year\s+round),year-round
(?<![oO]ne-)\b([oO])ff[–‑−—―\s]+road\b(?!\s+access),\1ff-road
\b((?:[fF]ast|[sS]low)(er)?)[–‑−—―\s]+paced\b,\1-paced
\b([mM])ass[–‑−—―\s]+produc(e[ds]?|ing)\b,\1ass-produc\2
\b([iI])ll[–‑−—―\s]+(ad(?:apted|vised)|c(?:alculated|on(?:ceived|sidered))|d(?:efined|i(?:gested|sposed))|e(?:quip(?:ped|t)|xecuted)|fated|gotten|informed|mannered|p(?:lanned|repared)|re(?:ceived|puted)|s(?:erved|uited)|t(?:empered|imed|reated)|used)\b,\1ll-\2
\bever\b[–‑−—―\s](?<=\b(?:[aA]n?|[fF]rom|[hH](?:er|is)|[iI]ts|[nN]umerous|[tT]h(?:e(?:ir|se)?|is)|[wW]ith)\s+ever)\s+(accelerating|b(?:etter|igger|roade(?:ning|r)|urning)|c(?:hanging|l(?:earer|oser))|d(?:e(?:creasing|epe(?:ning|r)|veloping)|iminishing|windling)|e(?:lusive|scalating|volving|xpanding)|faster|gr(?:eater|owing)|higher|i(?:mproving|ncreasing)|l(?:arger|engthening|ower)|moving|narrowing|p(?:opular|resent)|r(?:e(?:peating|volving)|ising|otating)|s(?:h(?:ifting|rinking)|m(?:aller|iling)|tronger)|tighte(?:ning|r)|w(?:atchful|ide(?:ning|r)|orsening)|younger)\b,ever-\1
ectly-(?=[a-z]+\b)(?![a-z]+-),ectly 
(i[ae])ntly-(?=[a-z]+\b)(?![a-z]+-),\1ntly 
ically-(?=[a-z]+\b)(?![a-z]+-),ically 
\b([bB]r|[ltLT]|[sS]l)ightly-(?=[a-z]+\b)(?![a-z]+-),\1ightly 
ously-(?=[a-z]),ously 
\b([hH](?:a(?:pp|st)|eav))ily-(?=[a-z]+\b)(?![a-z]+-),\1ily 
\b([iI])ndependently-(?=[a-z]+ed\b)(?![a-z]+-),\1ndependently 
\b([nN])ewly-(?=(?:[a-z]+ed\b|(?:a(?:rriving|vailable)|b(?:o(?:rn|ught)|uilt)|d(?:eveloping|rawn|ug)|e(?:ligible|merging)|forming|independent|made|popular|r(?:e(?:b(?:orn|uilt)|drawn)|ich)|s(?:hot|ingle)|w(?:ealthy|on|ritten))\b))(?!wed),\1ewly 
\b([pP])ublicly-(?=[a-z]+ed\b),\1ublicly 
\b([rR])ecently-(?=[a-z]+ed\b)(?![a-z]+-),\1ecently 
\b([sS])imilarly-(?=[a-z]+\b)(?![a-z]+-),\1imilarly 
\b([wW])idell?y-(?=[a-z]+ed\b)(?![a-z]+-|spaced eyes),\1idely 
\b(less|more)-populated\b,\1 populated
\bsworn-in\b(?<!\b[aA]\s+sworn-in),sworn in
"\b([sS])worn-in(?=(?:[,;\.]|\s+(?:as|on)\s))",\1worn in
\b([wW])ell-received\b(?=\.|\s+(?:at\b|by\b|in\b)),\1ell received
"\b([oO])n[-–‑−—―]?board(?<!-onboard)(?= (?:a[nst]?|for|in|ll|ship|t(?:h(?:at|e(?:se)?)|o)|w(?:ere|hen|ith))\b|[,\.;:\)])",\1n board
\b([iI])nter[–‑−—―\s]+tribal\b,\1ntertribal
\b([pP])assage[–‑−—―\s]+way(s)?\b,\1assageway\2
\b([fF])oot[–‑−—―\s]+hills\b,"\1oothills"""
\b([hH])alf\s+way(?=\s+(?:a(?:cross|round)|between|down|from|into|line|out|point|round|through|up)\b),\1alfway
\b([bB]as(?:e|ket)|[cC]annon|[fF]oo[st]|[hH]and|[kK]ick|[pP](?:addle|ickle)|[sS](?:now|pit|tick)|[vV]olley)[–‑−—―\s]+ball(s)?\b,\1ball\2
\b([cC])ounter[–‑−—―\s]balanc(e[ds]?|ing)\b,\1ounterbalanc\2
\b([fF])rost[–‑−—―\s]bit(e|ten)\b,\1rostbit\2
\b([lL])ife(?<!-[lL]ife)[–‑−—―\s]long(?!(?:evity|\s?[-–‑−—―]?(?:a(?:fter|go\b)|before|enough|gone|lived|since)))\b(?![^\s\.]*\.\w),\1ifelong
\b([cC](?:at|hild)|[sS](?:pring|uch)|[wW](?:ar|orkman))[–‑−—―]like\b,\1like
\b([uU]n)?([bB]usiness|[lL](?:ady|ife)|[sS]portsman)[–‑−—―]like\b,\1\2like
\b([mM])id[–‑−—―\s]section(s)?\b(?![^\s\.]*\.\w),\1idsection\2
\b([mM])id[–‑−—―\s]+way(?=\s+(?:across|between|down|through|up)\b),\1idway
\b([oO])ver-(exagger|medic|stimul)at(e[ds]?|i(?:ng|on))\b,\1ver\2at\3
\b([oO])ver-(arch|bear|prescrib|simplify|winter)ing\b,\1ver\2ing
\b([oO])ver-(emphas|general)(i[sz](?:ations?|e[ds]?|ing))\b,\1ver\2\3
\b([oO])ver-develop(ed|ment)\b,\1verdevelop\2
\b([oO])ver[–‑−—―\s]?wh?el?e?m(?<!verwhelm)(ed|ing(?:ly)?|s?)\b,\1verwhelm\2
\b([bB]irth|[fF]ire)[–‑−—―\s]place(s)?\b,\1place\2
\b([cC]ounter|[kK]nife|[mM]id|[sS]tand)[–‑−—―\s]point(s)?\b,\1point\2
\b([rR])e-b(irth|orn)\b,\1eb\2
\b([rR])e[–‑−—―]start(ed|ing|s?)\b,\1estart\2
\b([sS])pear[–‑−—―\s]head(ed|ing)\b,\1pearhead\2
\b([sS])tair[–‑−—―\s]+(cases?|steps?|w(?:ays?|ells?))\b,\1tair\2
\b([tT])hrough[-\s]+out\b(?!-| of\b),\1hroughout
\b([wW])ave[–‑−—―\s]+length(s)?\b,\1avelength\2
\b([bB]and|[cC](?:ell|lass)|[fF]lat|[rR]oom|[sS]h[io]p|[tT]eam)[–‑−—―\s]+mate(s)?\b,\1mate\2
\b([lL])aw[–‑−—―\s]+maker(s)?\b,\1awmaker\2
\b([gG])un[–‑−—―\s]powder\b,\1unpowder
(?:&#xFB00;|ﬀ),"ff"""
(?:℻|&#(?:8507;|x213B;)),"FAX"""
℡,"TEL"""
Ⅰ,"I"""
Ⅱ,"II"""
Ⅲ,"III"""
Ⅳ,"IV"""
Ⅴ,"V"""
Ⅵ,"VI"""
Ⅶ,"VII"""
Ⅷ,"VIII"""
Ⅸ,"IX"""
Ⅹ,"X"""
Ⅺ,"XI"""
Ⅻ,"XII"""
Ⅼ,"L"""
Ⅽ,"C"""
(?:[ⅮＤ]|&#(?:8558;|65316;|x(?:216E;|FF24;))),"D"""
(?:Ⅿ|&#(?:8559;|x216F;)),"M"""
㉐,"PTE"""
㎇,"GB"""
㋏,"LTD"""
…,"..."""
№,"No."""
&#x000[eE]1;,á
&#x00103;,ă
&#x000[fF]6;,ö
&#x000[fF]3;,ó
&#x000[eE]9;,é
\bfirst\s+d([eé])but(e[ds]?|ing)\b,d\1but\2
been\s+(?:found\s+previously|previously\s+found),"been found"""
\bgeneral\s+rule(s)?[-–‑−—―\s]+of[-–‑−—―\s]+thumb\b,rule\1 of thumb
\bfellow\s+(band\s?mates?|c(?:lass\s?mates?|rew\s?mates?|o(?:[-–‑−—―\s]+workers?|lleagues?|m(?:patriots?|rades?)|workers?))|team\s?mates?)\b,\1
\bactual\s+fact\b,fact
\bpast\s+(histories|memories|records)\b,\1
\b([eE])stimated\s+at\s+(?:a(?:bout|pprox(?:imately|\.)|round)|roughly)\b,\1stimated at
\b([cC]ombin(?:e[ds]?|ing)|[jJ]oin(?:ed|ing|s?)|[mM]erg(?:e[ds]?|ing))\s+together\b,\1
\bend\s+result\b,result
\b(?:end|final)\s+outcome\b,outcome
\b(?:absolutely|completely|entirely|fully|totally)\s+eliminat(e[ds]?|ing)\b,eliminat\1
\b([eE])liminat(e[ds]?|ing)\s+(?:absolutely|completely|entirely|fully|totally)\b,\1liminat\2
\bOn\s+(A(?:pril|ugust)|December|February|J(?:anuary|u(?:ly|ne))|Ma(?:rch|y)|November|October|September)\s+(1[6-9]\d\d|20[0-2]\d)\b,In \1 \2
\bon\b(?<!\b(?:based|decrease|focus|increase|re(?:flections?|port))\s+on)\s+(A(?:pril|ugust)|December|February|J(?:anuary|u(?:ly|ne))|Ma(?:rch|y)|November|October|September)\s+(1[6-9]\d\d|20[0-2]\d)\b,in \1 \2
\bIn\s+([1-9]|[12]\d|3[01])\s+(A(?:pril|ugust)|December|February|J(?:anuary|u(?:ly|ne))|Ma(?:rch|y)|November|October|September)\s+(1[6-9]\d\d|20[0-2]\d)\b,On \1 \2 \3
\bin\s+([1-9]|[12]\d|3[01])\s+(A(?:pril|ugust)|December|February|J(?:anuary|u(?:ly|ne))|Ma(?:rch|y)|November|October|September)\s+(1[6-9]\d\d|20[0-2]\d)\b,on \1 \2 \3
"\bIn\s+(A(?:pril|ugust)|December|February|J(?:anuary|u(?:ly|ne))|Ma(?:rch|y)|November|October|September)\s+([1-9]|[12]\d|3[01]),\s+(1[6-9]\d\d|20[0-2]\d)\b","On \1 \2, \3"
"\bin\s+(A(?:pril|ugust)|December|February|J(?:anuary|u(?:ly|ne))|Ma(?:rch|y)|November|October|September)\s+([1-9]|[12]\d|3[01]),\s+(1[6-9]\d\d|20[0-2]\d)\b","on \1 \2, \3"
"\b(A(?:pril|ugust)|December|February|J(?:anuary|u(?:ly|ne))|Ma(?:rch|y)|November|October|September)(?<=\b(?:[aA]fter|and|[bB](?:e(?:fore|tween)|orn|y)|[dD]ied|[fF]rom|[oO]n|to|[uU]ntil|\w+,)\s+\w+)\s+([1-3]?\d),\s+([12]\d\d\d)(?=\s+\w)","\1 \2, \3,"
\bAssociation of Computing Machinery\b,Association for Computing Machinery
\bFed+er+al Com+un+ication Com+is+ion\b,Federal Communications Commission
\bGlasglow\b,Glasgow
\bNew Music Express\b,New Musical Express
\bOlivia Newton John\b,Olivia Newton-John
\b[iI][mM][bB][dD]\b,IMDb
\bTuskeeg+e+\b,Tuskegee
\bNorth-Rhine[- ]Westphalia\b,North Rhine-Westphalia
\b[tT]rin+dad(ians?)?\b(?![^\s\.]*\.\w),Trinidad\1
\bSan Fransc?isco\b,San Francisco
\bHarper(?:\s+[cC]oll?ins|[cC]olins)\b,HarperCollins
\bHarper\s?[cC]oll?ins\s+Publisher\b,HarperCollins Publishers
\bAtlanta(?:-Journal(?:\s+and\s+|[-–‑−—―\s])| Journal(?: and)? )Constitution\b,Atlanta Journal-Constitution
\bP(eace|ulitzer)\s+[pP]rice\b,P\1 Prize
\bAb(?:as?|bas)sid\b,Abbasid
\bArgentinan(s)?\b,Argentinian\1
\bFrench\s+Guyana\b,French Guiana
\bKao(?:hs[iu]|si?u?)ng\b,Kaohsiung
\bMa(?!urit(?:iu)?s)u?riti?u?s\b,Mauritius
\bMilwall\b,Millwall
\bMoskow\b,Moscow
\bPapa?u?\s+[nN]ew\s+[gG]uinea\b,Papua New Guinea
\bPeoples?\s+Republic\s+of\s+China\b,People's Republic of China
\bTal(?:in+|l+in)\b,Tallinn
\bToyko\b,Tokyo
\bTolouse\b,Toulouse
\bFlikc?r\b,Flickr
\bGros+ett\s+(?:[aA]nd|&)\s+Dunlap\b,Grosset & Dunlap
\b([hH])earld(?=(?:ed|i(?:c|ng)|ry|s?)\b),\1erald
\bHindustani\s+Times\b,Hindustan Times
\bInstragram\b,Instagram
\bInstitute\s+of\s+Electrical\s+(?:[aA]nd|&)\s+Electronic Engineers\b,Institute of Electrical and Electronics Engineers
\bNew\s+India\s+Express\b,New Indian Express
\bPhiladelphia\s+Enquirer\b,Philadelphia Inquirer
\bPhillip\s+Glass\b,Philip Glass
\bSound\s+Cloud\b,SoundCloud
\bTales\s+of\s+Hof(?:fm[ae]n|m[ae]n+)\b,Tales of Hoffmann
\bWall[sS]treet\s+[jJ]ournal\b,Wall Street Journal
\bErnest\s*Mach\b,Ernst Mach
\bTeeside(rs?)?\b,Teesside\1
\bKlaus\s*Voorman\b,Klaus Voormann
\bKuomingtang\b,Kuomintang
\bJohnny\s+Halliday\b,Johnny Hallyday
\bLa\s+Tene\b,La Tène
\bIMDB\b,IMDb
\b(Academy|Emmy|Grammy|Tony)-[aA]ward\b,\1 Award
\b[aA][dD]sense\b,AdSense
\b[bB]lu\s?[rR]ay\b,Blu-ray
\bboeing\b,Boeing
\bbol+y[wW]ood\b(?![^\s\.]*\.\w),Bollywood
\b(\d\d?)\s?[cC][dD]s?\s+(album|[bB]ox\s?[sS]ets?|[sS]ets?)\b,\1-CD \2
\b[dD]vd(s)?\b(?![^\s\.]*\.\w),DVD\1
\b[eE][-–‑−—―]?bay\b(?![^\s\.]*\.\w),eBay
\beurope(a(?:n(?:i[sz](?:ation|e[ds]?)|s?)))?\b,Europe\1
\b[gG]eocit(?<!\S[gG]eocit)(?:e|ie?)s(\S\s|\s),GeoCities\1
\b[gG]ithub\b(?![^\s\.]*\.\w),GitHub
"\b(?<=\s)(?<!\|\s{0,9})([gG]pu)\b(?![^\s\.]*\.\w)",GPU
\bholl?y[wW]ood\b(?![^\s\.]*\.\w),Hollywood
\bindor([ei](?:ans?|tes?)?)\b(?![^\s\.]*\.\w),Indor\1
\binstagram\b,Instagram
\bjacuzzi(s)?\b,Jacuzzi\1
\b(\d\d?)\s?[lL][pP]s?\s+(album|box\s?sets?|sets?)\b,\1-LP \2
\b[mM]icrosoft\s+[pP]owerpoint\b,Microsoft PowerPoint
\bmumbai\b(?![^\s\.]*\.\w),Mumbai
\b(?:pay[pP]|Payp)al\b(?![^\s\.]*\.\w),PayPal
\b[pP]laystation(s)?\b(?![^\s\.]*\.\w),PlayStation\1
\b[pP]ro(?:\s+t|[tT])ools\b,Pro Tools
\b[sS]harepoint\b,SharePoint
\b[sS]oundcloud\b,SoundCloud
\b[sS]ourceforge\b(?![^\s\.]*\.\w),SourceForge
\b(?:tamil\s*[nN]|Tamil(?:[nN]|\s+n))adu\b,Tamil Nadu
\busb\b(?![^\s\.]*\.\w),USB
\bvanderbilt\b(?![^\s\.]*\.\w),Vanderbilt
\b[xX][-–‑−—―]?men\b(?![^\s\.]*\.\w),X-Men
\banglo\b(?![^\s\.]*\.\w),Anglo
\bbengal(is?|s?)\b(?![^\s\.]*\.\w),Bengal\1
\bbhojpuri\b,Bhojpuri
\bceltic\b(?![^\s\.]*\.\w),Celtic
